N,peak_sidelobe_pct,total_ringing_energy_pct,settling_us,worst_passband_error_db,worst_stopband_level_db,group_delay_samples,group_delay_us
109,1.904829883937479,1.196257558194768,276.0416666666667,0.0008697542850598045,-100.2766134275939,54,281.25
111,1.869859553300944,1.179447304270566,286.4583333333333,0.0008701107979317706,-100.24092611989371,55,286.4583333333333
113,1.8675520908104162,1.150192749233996,286.4583333333333,0.0008693663326960311,-100.25433415429458,56,291.6666666666667
115,1.8460157086269238,1.1905825583624443,286.4583333333333,0.0008693577169858423,-100.23632809782377,57,296.875
117,1.8479763424711286,1.1873880716475056,291.6666666666667,0.0008701553780370506,-100.22118345872758,58,302.08333333333337
119,1.8279837851956489,1.169705278340981,307.29166666666663,0.0008693775739106685,-100.2475114829767,59,307.29166666666663
121,1.4689566025492895,0.9654541596696574,307.29166666666663,0.0008701525101194039,-100.21860842378695,60,312.5
123,1.8120196979636036,1.1844759771737672,307.29166666666663,0.0008696683877001196,-100.25458061387656,61,317.7083333333333
125,1.812568253473643,1.1744608597119848,312.5,0.0008698830047073175,-100.21574897732131,62,322.9166666666667
127,1.7901490240111264,1.221936381937799,328.125,0.0008698565311637317,-100.23695521681903,63,328.125
