sampleRateHz,attenuationDb,M,tapCount,feasible,worstStopbandDb,rPeakPercent,settlingSampleSpan,settlingMs,taps
176400,0.36,21,43,0,0,1e+300,0,0,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
176400,0.37,21,43,0,0,1e+300,0,0,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
176400,0.38,13,27,1,-94.9926,0.683594,24,0.136054,"-0.000254992;-0.00156876;-0.00179988;0.00351886;0.00351886;0.00123132;-0.00351886;-0.00351886;-0.00351886;-0.00351886;-0.00351886;-0.00351886;0.259088;0.514759;0.259088;-0.00351886;-0.00351886;-0.00351886;-0.00351886;-0.00351886;-0.00351886;0.00123132;0.00351886;0.00351886;-0.00179988;-0.00156876;-0.000254992"
176400,0.39,13,27,1,-94.9925,0.683594,24,0.136054,"0.000278042;-0.00120454;-0.00254399;0.00352527;0.00352527;0.000411135;-0.00352527;-0.00352527;-0.00352527;-0.00352527;-0.00352527;-0.00352527;0.259312;0.515697;0.259312;-0.00352527;-0.00352527;-0.00352527;-0.00352527;-0.00352527;-0.00352527;0.000411135;0.00352527;0.00352527;-0.00254399;-0.00120454;0.000278042"
176400,0.41,13,27,1,-94.9953,0.585938,26,0.147392,"-0.00280684;-0.0021819;0.0017484;0.00299035;0.00299035;0.00299035;-0.00299035;-0.00299035;-0.00299035;-0.00299035;-0.00299035;-0.00299035;0.257035;0.510353;0.257035;-0.00299035;-0.00299035;-0.00299035;-0.00299035;-0.00299035;-0.00299035;0.00299035;0.00299035;0.00299035;0.0017484;-0.0021819;-0.00280684"
176400,0.42,13,27,1,-94.9956,0.585938,26,0.147392,"-0.00232076;-0.00218526;0.00107377;0.00299039;0.00299039;0.00299039;-0.00299039;-0.00299039;-0.00299039;-0.00299039;-0.00299039;-0.00299039;0.257223;0.51036;0.257223;-0.00299039;-0.00299039;-0.00299039;-0.00299039;-0.00299039;-0.00299039;0.00299039;0.00299039;0.00299039;0.00107377;-0.00218526;-0.00232076"
176400,0.43,13,27,1,-95,6.63528,4,0.0226757,"-0.000345883;0.000556722;-0.000556722;0.000556722;-0.000556722;0.000556722;-0.000556722;0.000556722;-0.000556722;0.000556722;-0.000556722;-0.0378266;0.253131;0.570083;0.253131;-0.0378266;-0.000556722;0.000556722;-0.000556722;0.000556722;-0.000556722;0.000556722;-0.000556722;0.000556722;-0.000556722;0.000556722;-0.000345883"
176400,0.44,13,27,1,-94.9982,28.6666,8,0.0453515,"0.000779792;-0.000779792;0.000779792;0.000779792;0.000779792;0.000779792;0.000779792;0.000779792;0.000779792;0.0780957;-0.0263868;-0.228905;0.272484;0.798507;0.272484;-0.228905;-0.0263868;0.0780957;0.000779792;0.000779792;0.000779792;0.000779792;0.000779792;0.000779792;0.000779792;-0.000779792;0.000779792"
176400,0.46,13,27,1,-94.9912,0.585938,24,0.136054,"-0.000217809;-0.000612855;-0.00186356;0.00301394;0.00301394;-0.000544547;-0.00301394;-0.00301394;-0.00301394;-0.00301394;-0.00301394;-0.00301394;0.258105;0.514379;0.258105;-0.00301394;-0.00301394;-0.00301394;-0.00301394;-0.00301394;-0.00301394;-0.000544547;0.00301394;0.00301394;-0.00186356;-0.000612855;-0.000217809"
176400,0.47,13,27,1,-94.9954,6.43775,4,0.0226757,"-0.000408737;0.000554238;-0.000554239;0.000554238;-0.000554238;0.000554238;-0.000554238;0.000554238;-0.000554238;0.000554238;0.000554238;-0.0365368;0.252067;0.56754;0.252067;-0.0365368;0.000554238;0.000554238;-0.000554238;0.000554238;-0.000554238;0.000554238;-0.000554238;0.000554238;-0.000554239;0.000554238;-0.000408737"
