sampleRateHz,attenuationDb,M,tapCount,feasible,worstStopbandDb,rPeakPercent,settlingSampleSpan,settlingMs,taps
44100,0.05,39,79,1,-94.9985,88.1288,78,1.76871,0.00172745;-4.69236e-05;-0.00124935;0.00382378;-0.00756607;0.0122866;-0.0177186;0.0228608;-0.0264085;0.0272249;-0.0239549;0.0152627;-0.000636253;-0.0196193;0.0445485;-0.0720295;0.0987138;-0.120803;0.134356;-0.135355;0.120751;-0.0893315;0.0415564;0.0200992;-0.0905661;0.163065;-0.22961;0.28166;-0.311668;0.31335;-0.283556;0.221854;-0.131619;0.0199599;0.103664;-0.227989;0.340713;-0.430527;0.48852;0.48852;0.48852;-0.430527;0.340713;-0.227989;0.103664;0.0199599;-0.131619;0.221854;-0.283556;0.31335;-0.311668;0.28166;-0.22961;0.163065;-0.0905661;0.0200992;0.0415564;-0.0893315;0.120751;-0.135355;0.134356;-0.120803;0.0987138;-0.0720295;0.0445485;-0.0196193;-0.000636253;0.0152627;-0.0239549;0.0272249;-0.0264085;0.0228608;-0.0177186;0.0122866;-0.00756607;0.00382378;-0.00124935;-4.69236e-05;0.00172745
44100,0.1,8,17,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.1,9,19,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.1,10,21,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.1,11,23,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.1,12,25,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.1,13,27,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.1,14,29,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.1,15,31,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.1,16,33,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.1,17,35,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.1,18,37,1,-94.9994,10.0154,34,0.770975,-0.000184406;-0.00414558;0.00594997;-0.00618068;0.00864686;-0.00805767;0.00774427;-0.00400463;-0.000503859;0.00862956;-0.0180013;0.0302007;-0.0429612;0.05679;-0.0693171;0.0810297;-0.0898292;0.0957408;0.896908;0.0957408;-0.0898292;0.0810297;-0.0693171;0.05679;-0.0429612;0.0302007;-0.0180013;0.00862956;-0.000503859;-0.00400463;0.00774427;-0.00805767;0.00864686;-0.00618068;0.00594997;-0.00414558;-0.000184406
44100,0.1,19,39,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.1,20,41,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.1,21,43,1,-94.9985,10.5357,42,0.952381,0.00356759;-0.00121817;0.000487992;0.000889225;-0.00281887;0.00514358;-0.00755408;0.00956715;-0.0106188;0.0101542;-0.00765191;0.0026611;0.00508332;-0.0155095;0.0281637;-0.0423097;0.0570423;-0.0713238;0.0840049;-0.093959;0.100289;0.891819;0.100289;-0.093959;0.0840049;-0.0713238;0.0570423;-0.0423097;0.0281637;-0.0155095;0.00508332;0.0026611;-0.00765191;0.0101542;-0.0106188;0.00956715;-0.00755408;0.00514358;-0.00281887;0.000889225;0.000487992;-0.00121817;0.00356759
44100,0.1,22,45,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.1,23,47,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.1,24,49,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.1,25,51,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.1,26,53,1,-94.9631,9.92739,52,1.17914,0.00328138;-0.00112221;0.000229709;-0.000471931;-0.000550685;0.000422278;-0.000996266;0.000394798;9.92008e-05;-0.00156443;0.00313099;-0.00496006;0.00646003;-0.00705555;0.00646473;-0.00381214;-0.000731409;0.00783001;-0.0171089;0.0291427;-0.041595;0.0555908;-0.0682499;0.0802931;-0.0890782;0.0953081;0.897298;0.0953081;-0.0890782;0.0802931;-0.0682499;0.0555908;-0.041595;0.0291427;-0.0171089;0.00783001;-0.000731409;-0.00381214;0.00646473;-0.00705555;0.00646003;-0.00496006;0.00313099;-0.00156443;9.92008e-05;0.000394798;-0.000996266;0.000422278;-0.000550685;-0.000471931;0.000229709;-0.00112221;0.00328138
44100,0.1,27,55,1,-98.2237,11.588,54,1.22449,-0.00121236;0.00244252;0.000850325;-0.000550759;0.00250442;-0.00270624;0.00369231;-0.00406071;0.00345387;-0.0018199;-0.00108725;0.00411886;-0.00805275;0.0123598;-0.0145927;0.0154705;-0.014657;0.00980997;-0.00173206;-0.00920949;0.0236723;-0.0401042;0.0576334;-0.074642;0.089564;-0.102235;0.109966;0.882247;0.109966;-0.102235;0.089564;-0.074642;0.0576334;-0.0401042;0.0236723;-0.00920949;-0.00173206;0.00980997;-0.014657;0.0154705;-0.0145927;0.0123598;-0.00805275;0.00411886;-0.00108725;-0.0018199;0.00345387;-0.00406071;0.00369231;-0.00270624;0.00250442;-0.000550759;0.000850325;0.00244252;-0.00121236
44100,0.1,28,57,1,-94.9977,13.4998,56,1.26984,0.00210952;-0.00211994;-0.00031605;0.000651113;-0.00342301;0.00414474;-0.00613176;0.00840445;-0.00776159;0.00703391;-0.00465817;0.000841008;0.00562905;-0.0113009;0.0178807;-0.0235406;0.0269851;-0.026493;0.0228607;-0.013845;0.000370085;0.0173344;-0.0373324;0.0601307;-0.0816254;0.101524;-0.116656;0.12724;0.86413;0.12724;-0.116656;0.101524;-0.0816254;0.0601307;-0.0373324;0.0173344;0.000370085;-0.013845;0.0228607;-0.026493;0.0269851;-0.0235406;0.0178807;-0.0113009;0.00562905;0.000841008;-0.00465817;0.00703391;-0.00776159;0.00840445;-0.00613176;0.00414474;-0.00342301;0.000651113;-0.00031605;-0.00211994;0.00210952
