frequency_hz,smoothed_measured_phase_deg,minimum_phase_target_deg,smoothed_spl_db
1831.57358255,646.171371744,-18.8204014271,102.111240928
1881.48915074,640.208330322,-20.1071161326,101.962400867
1932.76505956,634.009756962,-21.295840713,101.789643901
1985.43838214,627.593714153,-22.3700813858,101.59483466
2039.54720196,620.978264388,-23.3131906484,101.379838667
2095.13064039,614.181470159,-24.1058645867,101.146926968
2152.22888496,607.221393956,-24.7318087908,100.899415603
2210.88321843,600.116098272,-25.1801550229,100.64078665
2271.13604862,592.883645597,-25.44326138,100.374522191
2333.03093912,585.542098424,-25.5127032994,100.104104304
2396.6126407,578.109519243,-25.3897438757,99.8330150683
2461.92712374,570.603970546,-25.0700262987,99.5647365647
2529.02161146,563.043514825,-24.5585532424,99.3027508722
2597.94461402,555.446214571,-23.8551057066,99.0505400707
2668.74596363,547.830132276,-22.9656890036,98.8115862396
2741.47685057,540.21333043,-21.9003779928,98.5893714586
2816.18986019,532.613871526,-20.6660353886,98.3873778073
2892.93901095,525.049818055,-19.2752543363,98.2090873654
2971.77979347,517.539232508,-17.742596413,98.0579822125
3052.76921064,510.100177377,-16.0886958749,97.9375444282
3135.96581883,502.750715154,-14.3291842182,97.8512560921
3221.42977026,495.508908329,-12.4925358868,97.8025992839
3309.22285645,488.392819394,-10.6072483266,97.7950560831
3399.40855291,481.420510842,-8.7076923816,97.8321085694
3492.05206506,474.607980484,-6.83973516498,97.9172388225
3587.22037534,467.956678128,-5.06036425586,98.0539289219
3684.98229165,461.4618014,-3.46330478314,98.2436937294
3785.40849709,455.118523749,-2.14378577212,98.4784868705
3888.57160109,448.922018623,-1.1572576971,98.7473613436
3994.5461919,442.86745947,-0.536329291934,99.039369493
4103.40889049,436.950019739,-0.299124974682,99.3435636633
4215.23840598,431.164872877,-0.455352013816,99.6489961992
4330.11559252,425.507192333,-0.998402622457,99.944719445
4448.1235078,419.972151556,-1.91154419797,100.219785745
4569.34747304,414.554923994,-3.16588484422,100.463247445
4693.87513471,409.250683094,-4.71594527572,100.664156888
4821.79652789,404.054602306,-6.48921631326,100.811588129
4953.20414139,398.961855077,-8.36400257904,100.899590601
5088.19298457,393.967614856,-10.2358285336,100.933503469
5226.8606561,389.067055091,-12.0403810104,100.920223203
5369.30741446,384.255349231,-13.7348996648,100.86664627
5515.63625048,379.527670723,-15.2845317456,100.779669139
5665.95296176,374.879193017,-16.6683517065,100.666188279
5820.36622922,370.305089559,-17.8706801629,100.533100158
5978.9876956,365.800533799,-18.8867146729,100.387301245
6141.93204624,361.360699186,-19.7195116546,100.235688007
6309.317092,356.980759166,-20.3823645717,100.085156914
6481.26385438,352.655887189,-20.9095737524,99.942116816
6657.89665309,348.381256702,-21.3473277633,99.8082999191
6839.34319589,344.152041155,-21.7251444626,99.6828339197
7025.73467094,339.963413995,-22.0601906455,99.5648183765
7217.20584165,335.810548671,-22.36869695,99.4533528484
7413.89514413,331.688618631,-22.6595371172,99.3475368939
7615.94478723,327.592797322,-22.9431114575,99.246470072
7823.50085543,323.518258195,-23.2257063526,99.1492519412
8036.71341441,319.460174696,-23.513412936,99.0549820605
8255.73661956,315.413720275,-23.810620304,98.9627599885
8480.72882745,311.374068378,-24.1211792199,98.871685284
8711.85271031,307.336392456,-24.4471494527,98.7808575057
8949.27537366,303.295865956,-24.7917808378,98.6893762124
9193.1684771,299.247662325,-25.155573154,98.5963409628
9443.70835845,295.186955014,-25.5394285619,98.5008513158
9701.07616125,291.108917469,-25.943200241,98.4020068299
9965.45796568,287.00872314,-26.3664170671,98.298907064
10237.0449232,282.881545474,-26.807947875,98.1906515768
10516.0333945,278.72255792,-27.2656802956,98.0763399272
10802.625092,274.526933925,-27.7374525502,97.9550716737
11097.027225,270.28984694,-28.2203380281,97.8259463752
11399.4526501,266.006470411,-28.7106223178,97.6880635904
11710.1200246,261.671977786,-29.2037635515,97.5405228781
12029.2539651,257.281542515,-29.6951614936,97.382423797
12357.0852095,252.830338046,-30.1783919182,97.2128659059
12693.8507838,248.313537826,-30.6475708202,97.0309487635
13039.794174,243.726315305,-31.0946953886,96.8357719285
13395.1655014,239.06384393,-31.5113656273,96.6264349598
13760.2217042,234.32129715,-31.887478011,96.402037416
14135.2267225,229.493848412,-32.212192793,96.161678856
14520.4516898,224.576671166,-32.4727046386,95.9044588384
14916.1751286,219.56493886,-32.6542148309,95.629476922
15322.6831521,214.453824941,-32.7399281058,95.3358326656
15740.2696707,209.238502859,-32.7098193239,95.0226256278
16169.2366047,203.914146061,-32.5399226826,94.6889553676
16609.8941028,198.475927996,-32.2015762097,94.3339214435
17062.5607659,192.919022112,-31.6582394965,93.9566234144
17527.5638778,187.238601857,-30.8630498074,93.556160839
18005.2396416,181.42984068,-29.7512490991,93.131633276
18495.9334231,175.487912029,-28.2259202335,92.6821402842
19000,169.407989352,-26.1172918355,92.2067814224
